TopicType,Title,LiveUrl,PageViews,PVs MoM,Visitors,OrganicSearchReferrals,PrimaryKPIScoreRank,PrimaryKPIScoreRank Change,ClickThroughRate,CopyTryScrollRate,BounceRate,ExitRate,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,MedianMaxScroll,DwellRate,CSATHelpfulRate,CSATResponseRate,CSATHelpfulRatings,CSATTotalResponses,RatingVerbatims,GitHubOpenIssueCount,GitHubTotalIssueCount,GitHubNewIssueCount,GitHubOpenIssuesLink,Freshness,LastCommitDateTime,LinesChanged,LastReviewed,MSAuthor,AcrolinxScore,AcrolinxClarity,PrimaryKPIScore,TopicKey
how-to,Create a hub and spoke topology with Azure Virtual Network Manager (Preview),https://docs.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-hub-and-spoke,214,-6.55%,163,64,58.99261369,-1.143489465,34.58%,87.12%,11.68%,24.30%,29.91%,8.41%,61.68%,0.00%,0.00%,4%,0%,87%,39,13.89%,0.00%,0.00%,0,0,0,,,,,91-365 days,2021-10-28,2,2021-11-02,duau,92.00,0.00,1.100137607,7629d7d7-66d8-608d-85ec-aa570ec4a193
how-to,"Create, change, or delete a VNet TAP - Azure CLI",https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-tap-virtual-network-cli,208,-6.31%,159,25,18.97303551,-19.17166363,36.54%,72.33%,14.90%,39.42%,12.02%,3.37%,80.29%,4.33%,0.00%,3%,1%,72%,12,7.08%,0.00%,0.00%,0,0,0,1,1,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+412dfd73-7786-9557-cb8b-cfec155254f8+in:body,> 365 days,2022-01-01,1,2018-03-18,kaanan,79.00,0.00,0.939616594,6ac5a210-aeb6-7885-e9b8-ad7ad97fabd6
how-to,Route network traffic Azure PowerShell,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-create-route-table-powershell,207,6.15%,156,110,57.5064519,1.149002043,23.67%,91.03%,5.31%,43.00%,53.14%,18.36%,26.09%,2.42%,0.00%,21%,3%,91%,34,8.15%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2022-04-12,4,2018-03-13,mbender,,,1.093831289,397bb01e-8020-e461-5c1b-cb8d6c90c473
overview,What is Azure Virtual Network IP Services?,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/ip-services-overview,200,15.61%,155,30,66.16194865,-15.39272856,41.00%,82.58%,4.00%,25.50%,15.00%,11.50%,73.50%,0.00%,0.00%,6%,0%,83%,44,11.67%,0.00%,0.65%,0,1,0,,,,,91-365 days,2021-10-21,18,2021-10-01,allensu,98.00,0.00,1.195806452,0cf09729-a1ff-6553-f667-e443a93fec19
how-to,Connect virtual networks with VNet peering - Azure CLI,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-connect-virtual-networks-cli,191,-8.17%,142,80,31.1204058,-24.17149964,26.70%,81.69%,8.90%,41.36%,41.88%,14.66%,42.41%,1.05%,0.00%,13%,1%,82%,38,11.39%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2022-04-12,4,2018-03-13,mbender,,,0.99491188,0f554e5d-891d-b684-09a3-757c2056fd81
sample,Azure Policy Regulatory Compliance controls for Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/security-controls-policy,187,-17.26%,146,55,79.34411296,7.323747302,51.34%,80.14%,4.81%,28.88%,29.41%,4.28%,66.31%,0.00%,0.00%,2%,0%,80%,14,1.22%,0.00%,0.00%,0,0,0,,,,,0-90 days,2022-04-12,4,2022-03-10,mbender,,,1.266610505,07ab88f0-daad-3c35-72ab-7d98caedb86f
conceptual,What is a network group in Azure Virtual Network Manager (Preview)?,https://docs.microsoft.com/en-us/azure/virtual-network-manager/concept-network-groups,183,-14.88%,131,12,78.3045825,-7.63017817,51.91%,85.50%,13.66%,22.40%,6.56%,4.92%,83.61%,4.92%,0.00%,1%,0%,85%,40,13.33%,0.00%,0.00%,0,0,0,,,,,91-365 days,2021-11-12,4,2021-11-02,duau,87.00,0.00,1.237475493,9cb58e76-098b-0c7b-7973-dd86ba0e37a6
how-to,Migrate a virtual network from classic to Resource Manager - Azure PowerShell,https://docs.microsoft.com/en-us/azure/virtual-network/migrate-classic-vnet-powershell,182,-52.85%,131,27,2.500667438,-2.218172104,21.43%,64.12%,14.84%,40.11%,14.84%,22.53%,55.49%,6.04%,1.10%,8%,0%,64%,4,7.08%,0.00%,0.00%,0,0,0,,,,,91-365 days,2022-01-26,4,2022-01-25,allensu,,,0.70715544,2edc7741-e3b6-91a5-4421-8034d3abc411
how-to,Manage a public IP address with Azure Bastion - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/configure-public-ip-bastion,179,-13.11%,153,166,30.14149684,-5.648259606,13.41%,90.20%,4.47%,44.69%,92.74%,2.23%,5.03%,0.00%,0.00%,7%,0%,89%,53,22.50%,0.00%,0.00%,0,0,0,,,,,91-365 days,2021-10-21,4,2021-06-28,allensu,,,0.991346259,438af075-d0df-cea8-c8ff-91cf9617b04f
how-to,Migrate a classic reserved IP address to a public IP address - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/public-ip-upgrade-classic,176,-55.44%,130,96,8.738987274,4.646938564,19.32%,77.69%,10.23%,39.20%,54.55%,18.18%,26.70%,0.57%,0.00%,7%,2%,78%,40,21.67%,0.00%,0.00%,0,0,0,0,1,,,91-365 days,2022-01-19,6,2021-05-20,allensu,,,0.867832168,c4dd0f91-cff6-ee15-eae0-addcc722d8c5
landing-page,"Azure Virtual Network IP Services Documentation - Tutorials, quickstarts, API references",https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/,170,-6.08%,139,1,63.60103627,-17.87071143,58.24%,40.29%,8.82%,15.88%,0.59%,6.47%,91.18%,0.59%,1.18%,1%,0%,40%,0,6.67%,0.00%,0.00%,0,0,0,,,,,91-365 days,,,2021-10-01,allensu,,,0.917647059,854ba803-60bb-e1dd-a778-31231b2542ec
