TopicType,Title,LiveUrl,PageViews,PVs MoM,Visitors,OrganicSearchReferrals,PrimaryKPIScoreRank,PrimaryKPIScoreRank Change,ClickThroughRate,CopyTryScrollRate,BounceRate,ExitRate,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,MedianMaxScroll,DwellRate,CSATHelpfulRate,CSATResponseRate,CSATHelpfulRatings,CSATTotalResponses,RatingVerbatims,GitHubOpenIssueCount,GitHubTotalIssueCount,GitHubNewIssueCount,GitHubOpenIssuesLink,Freshness,LastCommitDateTime,LinesChanged,LastReviewed,MSAuthor,AcrolinxScore,AcrolinxClarity,PrimaryKPIScore,TopicKey
how-to,Configure IP addresses for an Azure network interface,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/virtual-network-network-interface-addresses,"3,731",-19.82%,"3,007","2,231",24.86428762,-2.938362809,17.48%,87.43%,7.91%,45.08%,59.80%,16.19%,21.60%,2.20%,0.21%,3%,0%,87%,36,3.33%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-01-01,1,2020-01-22,allensu,,,0.969978119,87fb9008-701f-decc-898a-7fd56a439a28
hub-page,Azure networking documentation,https://docs.microsoft.com/en-us/azure/networking/,"3,606",-39.80%,"2,247",492,60.3626943,-8.362667066,57.85%,72.90%,10.62%,15.64%,13.64%,12.92%,72.52%,0.92%,0.00%,0%,0%,73%,15,7.50%,0.00%,0.00%,0,0,0,,,,,91-365 days,2022-03-20,16,2021-09-08,kumud,,,0.894342762,ac6b6f1b-88e8-4dda-a3a1-5a1c486bd470
how-to,Accelerated Networking overview,https://docs.microsoft.com/en-us/azure/virtual-network/accelerated-networking-overview,"3,596",22.02%,"2,383","1,611",54.41843909,-10.92002796,23.03%,90.94%,6.01%,46.69%,44.80%,13.07%,41.18%,0.92%,0.03%,11%,1%,90%,48,20.00%,0.00%,0.00%,0,0,0,1,2,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+fbfe1f3b-01da-a475-8dee-15f628bd7e17+in:body,0-90 days,2022-04-19,25,2022-02-15,steveesp,,,1.079547051,efd68c10-13e7-906a-b66c-4477d1c8228d
how-to,Create a VM with a static private IP address - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/virtual-networks-static-private-ip-arm-pportal,"3,205",-21.79%,"2,568","2,424",20.35240723,2.999255364,12.89%,89.14%,7.30%,55.13%,75.63%,10.83%,11.58%,1.87%,0.09%,2%,0%,89%,63,15.42%,0.00%,0.00%,0,0,0,,,,,91-365 days,,,2021-10-01,allensu,,,0.947205374,38fd2f4f-413d-bf5b-9ea0-61edd6d8500f
how-to,Create an Azure VM with Accelerated Networking using Azure CLI,https://docs.microsoft.com/en-us/azure/virtual-network/create-vm-accelerated-networking-cli,"3,174",-28.93%,"2,235","1,402",49.47049924,5.433966292,28.99%,85.41%,8.48%,36.36%,44.17%,15.91%,32.01%,7.28%,0.63%,6%,0%,85%,32,4.58%,0.00%,0.00%,0,0,0,4,37,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+f89338c0-968d-c22f-5b0d-ed3870ebc2fa+in:body,0-90 days,2022-04-22,2,2022-03-24,steveesp,92.00,0.00,1.059242672,fbbc2c71-c6ec-320f-6530-5c1b06e45b3a
how-to,Multiple IP addresses for Azure virtual machines - Portal,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/virtual-network-multiple-ip-addresses-portal,"2,879",-10.73%,"1,970","1,624",41.75491679,-3.794868308,19.76%,90.30%,7.12%,53.66%,56.41%,12.75%,28.41%,2.15%,0.28%,9%,0%,90%,70,4.71%,100.00%,0.05%,1,1,1,,,,,> 365 days,2022-01-01,1,2016-11-30,allensu,,,1.029478474,f1c7a3fd-7df6-9635-4fa6-cd947eccdfba
troubleshooting,Troubleshoot Azure VM connectivity problems,https://docs.microsoft.com/en-us/azure/virtual-network/troubleshoot-vm-connectivity,"2,850",-14.18%,"2,272","2,298",82.26408388,3.49939894,25.65%,89.04%,7.51%,42.42%,80.63%,3.82%,14.84%,0.60%,0.11%,4%,0%,89%,36,11.67%,100.00%,0.04%,1,1,0,1,1,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+d53ad458-9843-0f8a-c295-c2892a959943+in:body,> 365 days,,,2019-08-29,kaushika,87.00,0.00,1.071808438,25b8e6f2-9509-0052-52e5-a4838e628fa6
conceptual,Private IP addresses in Azure,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/private-ip-addresses,"2,715",-18.44%,"2,219","1,817",26.1271034,7.668302993,19.56%,85.44%,9.17%,38.20%,66.92%,5.82%,25.34%,1.69%,0.18%,3%,0%,85%,52,12.78%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-01-01,1,2020-05-28,allensu,,,0.95830634,8439d4e5-c185-5c48-1d90-cf632ae105f7
conceptual,What is subnet delegation in Azure virtual network?,https://docs.microsoft.com/en-us/azure/virtual-network/subnet-delegation-overview,"2,643",-17.23%,"1,995","1,731",25.44713726,-17.51625858,20.85%,82.66%,8.10%,42.07%,65.49%,8.74%,21.94%,3.67%,0.15%,3%,0%,82%,39,27.50%,100.00%,0.05%,1,1,0,0,1,,,> 365 days,2022-04-12,4,2020-12-15,mbender,,,0.954073037,cb8c174a-0ee2-e3d4-91af-7f90821f7153
article,TCP/IP performance tuning for Azure VMs,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-tcpip-performance-tuning,"2,581",-16.85%,"1,798","1,485",37.13834564,7.846498407,19.18%,90.21%,10.15%,53.86%,57.54%,17.47%,23.32%,1.51%,0.12%,7%,0%,90%,29,3.48%,0.00%,0.00%,0,0,0,2,6,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+d9e17ce9-1b86-b744-f5c8-c86db7267376+in:body,> 365 days,2022-01-01,1,2019-04-02,rimayber,,,0.992388547,58d91edf-6f12-39f3-be99-569dee089b4e
conceptual,Azure Public IP address prefix - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/public-ip-address-prefix,"2,564",-24.74%,"1,932","1,569",49.0554556,5.191565682,28.67%,85.51%,7.96%,42.16%,61.19%,8.85%,28.94%,0.94%,0.04%,3%,0%,85%,42,5.56%,0.00%,0.00%,0,0,0,,,,,91-365 days,2022-01-28,2,2021-05-20,allensu,,,1.062170748,d992f401-e22c-8e28-f0ad-a81241c41f63
conceptual,Custom IP address prefix (BYOIP) - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/custom-ip-address-prefix,"2,425",573.61%,"1,707",125,23.28553286,-0.871084044,20.87%,83.42%,10.23%,63.63%,5.15%,22.89%,54.02%,0.29%,17.65%,6%,0%,83%,47,18.89%,100.00%,0.12%,2,2,0,,,,,0-90 days,2022-04-12,2,2022-03-31,allensu,,,0.940603821,d9f57162-93cf-482f-4950-e7a41151a1a7
conceptual,Default outbound access in Azure - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/default-outbound-access,"2,249",-3.02%,"1,584","1,017",24.58990369,-1.136601114,15.70%,89.02%,9.83%,40.60%,45.22%,13.87%,40.37%,0.53%,0.00%,5%,0%,89%,53,39.17%,0.00%,0.00%,0,0,0,,,,,0-90 days,2022-03-02,3,2022-03-02,allensu,91.00,0.00,0.948844267,e1bc091d-5c29-7451-73e4-85455120ec32
tutorial,Tutorial: Create a NAT gateway - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/nat-gateway/tutorial-create-nat-gateway-portal,"2,156",-11.31%,"1,515",795,48.05263158,-10.40198604,22.50%,90.36%,7.84%,46.20%,36.87%,12.94%,48.65%,1.48%,0.05%,6%,0%,90%,55,19.58%,100.00%,0.07%,1,1,1,,,,,> 365 days,2021-10-18,4,2021-03-02,allensu,,,1.050198081,cd066dda-ee6e-97eb-ad46-0f8f21f5f90c
how-to,Testing Azure VM network throughput,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-bandwidth-testing,"2,121",-11.74%,"1,437",879,49.71967607,-1.310051724,27.35%,88.31%,9.62%,51.67%,41.44%,19.52%,36.73%,2.31%,0.00%,14%,0%,88%,40,16.67%,0.00%,0.00%,0,0,0,1,6,1,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+42423f75-6611-2ff6-135d-cd0a11bab7c2+in:body,> 365 days,2022-01-01,1,2020-10-06,steveesp,,,1.060364641,a061ee2f-bf70-6a32-0b21-96e5693372e5
conceptual,Routing preference in Azure,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/routing-preference-overview,"2,120",-22.37%,"1,658",557,32.20446608,0.02309223,18.92%,87.94%,7.74%,50.33%,26.27%,10.05%,62.50%,0.85%,0.33%,3%,0%,88%,45,19.44%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-01-01,1,2021-02-01,allensu,79.00,0.00,0.991165191,d5cc46b7-8f39-a0cd-c60a-af60717db6ad
tutorial,Restrict access to PaaS resources - tutorial - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-restrict-network-access-to-resources,"2,104",-5.40%,"1,557",473,35.07894737,-7.630764195,24.05%,82.79%,7.98%,38.07%,22.48%,12.55%,57.56%,7.41%,0.00%,4%,0%,82%,21,6.82%,0.00%,0.00%,0,0,0,2,17,1,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+cfd9533e-c174-cd48-0f72-a58457efa958+in:body,91-365 days,2022-04-12,4,2021-07-16,mbender,,,0.988520505,38f88237-80f0-141b-2f28-01d70d1c3dff
how-to,Create Windows VM with accelerated networking - Azure PowerShell,https://docs.microsoft.com/en-us/azure/virtual-network/create-vm-accelerated-networking-powershell,"2,098",-27.43%,"1,556",571,47.33469787,7.578250882,25.64%,87.40%,7.96%,42.33%,27.22%,25.74%,40.56%,5.58%,0.91%,6%,0%,87%,35,5.21%,0.00%,0.00%,0,0,0,3,22,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+e4be8e45-460a-fab4-519b-32d83382005c+in:body,0-90 days,2022-03-11,4,2022-03-22,steveesp,,,1.050871071,34df9769-6b4d-d391-4e39-f39d6daccd57
conceptual,Virtual network integration of Azure services for network isolation,https://docs.microsoft.com/en-us/azure/virtual-network/vnet-integration-for-azure-services,"2,032",-17.80%,"1,401",774,54.25706424,7.792632427,31.05%,87.22%,9.35%,37.01%,38.09%,10.43%,50.39%,0.79%,0.30%,5%,0%,87%,43,7.67%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-04-22,4,2020-12-01,mbender,,,1.089261678,5f9a9e05-281d-a6aa-6dba-4d6f1a7cfcd2
troubleshooting,Diagnose an Azure virtual machine routing problem,https://docs.microsoft.com/en-us/azure/virtual-network/diagnose-network-routing-problem,"2,005",-8.15%,"1,579","1,254",62.60885019,-2.663488724,16.76%,88.66%,8.08%,44.89%,62.54%,6.43%,27.58%,3.24%,0.20%,2%,0%,89%,33,5.93%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2022-04-12,4,2018-05-30,mbender,,,0.973420154,073311ad-94e6-a40c-6aa5-f540a55c0ed1
how-to,Test Azure virtual machine network latency in an Azure virtual network,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-test-latency,"1,864",-12.98%,"1,342",979,51.3838213,-2.341107062,27.84%,87.41%,8.58%,52.84%,52.52%,18.35%,23.34%,5.63%,0.16%,11%,0%,87%,37,10.00%,0.00%,0.00%,0,0,0,1,3,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+96a8a8ae-019a-9164-7506-e6a2ac60269c+in:body,> 365 days,2022-02-23,1,2019-10-29,steveesp,,,1.066665121,95687fc0-157c-5bfe-0706-d7b111204e97
conceptual,Overview of IPv6 for Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/ipv6-overview,"1,814",-13.29%,"1,231","1,091",19.92538893,-11.5440899,16.76%,86.27%,11.36%,47.19%,60.14%,17.75%,20.45%,1.60%,0.06%,4%,0%,86%,52,10.00%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2022-01-01,1,2020-03-31,allensu,,,0.916737497,ed619991-bf11-f08c-be59-5ffb6e606041
troubleshooting,Troubleshoot virtual network peering issues,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-troubleshoot-peering-issues,"1,779",-25.22%,"1,393","1,234",83.13488537,0.187217165,27.71%,88.80%,8.43%,39.01%,69.36%,8.09%,18.38%,4.16%,0.00%,4%,0%,89%,42,8.57%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2022-01-01,1,2019-08-28,kaushika,,,1.080816433,849cb398-2137-0804-3a15-f56b36b760c2
how-to,Add or remove a subnet delegation in an Azure virtual network,https://docs.microsoft.com/en-us/azure/virtual-network/manage-subnet-delegation,"1,772",-18.34%,"1,333",928,16.107502,-1.191924932,10.44%,90.25%,8.30%,42.72%,52.37%,4.74%,40.86%,1.98%,0.06%,10%,0%,90%,21,9.72%,0.00%,0.00%,0,0,0,0,3,,,> 365 days,2022-04-12,4,2019-11-06,mbender,,,0.923920314,d9eb09e4-7cc5-ab15-d43f-a65a6596b55f
quickstart,Quickstart: Create a public IP address - Azure portal - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/create-public-ip-portal,"1,709",-17.32%,"1,381",736,45.04672897,6.891327835,27.33%,92.54%,6.61%,41.02%,43.07%,5.21%,51.20%,0.47%,0.00%,5%,0%,92%,56,8.67%,0.00%,0.00%,0,0,0,,,,,91-365 days,2021-12-10,2,2021-10-01,allensu,,,1.132555043,91aa3bcd-e425-c042-5de0-49d0913aa04d
troubleshooting,Troubleshooting connectivity problems between Azure VMs,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-troubleshoot-connectivity-problem-between-vms,"1,693",-9.71%,"1,301","1,324",82.90385641,2.092179653,31.19%,85.17%,8.62%,36.50%,78.20%,5.38%,15.95%,0.41%,0.06%,5%,0%,85%,37,16.67%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-01-01,1,2018-10-30,genli,,,1.077287542,5f5aba91-d386-9a45-487d-7c2e67bf7268
quickstart,Create a virtual network - quickstart - Azure PowerShell - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-powershell,"1,647",-17.03%,"1,094",656,31.09034268,-0.621596677,32.12%,84.92%,9.41%,34.00%,39.83%,9.53%,47.91%,2.43%,0.30%,17%,4%,85%,22,10.33%,0.00%,0.00%,0,0,0,0,8,,,0-90 days,2022-04-13,26,2022-04-13,mbender,99.00,0.00,1.076256869,6f9110f5-c59f-3eb6-3872-5d78079275f2
how-to,Dissociate a public IP address from an Azure VM,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/remove-public-ip-address-vm,"1,556",-17.10%,"1,269","1,346",23.51161342,-3.118042741,10.15%,92.83%,6.62%,53.79%,86.50%,4.63%,8.23%,0.64%,0.00%,5%,0%,93%,21,9.58%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,,,2019-12-04,allensu,,,0.963637036,e1a9ce25-b4b4-9b57-18c4-cd1e77005535
how-to,Optimize VM network throughput,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-optimize-network-bandwidth,"1,537",-18.24%,"1,161",357,46.19560381,5.579557964,29.41%,86.65%,11.32%,27.78%,23.23%,8.65%,65.78%,2.34%,0.00%,8%,0%,87%,49,13.33%,0.00%,0.00%,0,0,0,0,3,,,> 365 days,2022-01-01,1,2020-10-06,steveesp,,,1.04736623,0b7a11e1-31ce-7f17-c78c-8db1872b291b
article,Working remotely using Azure networking services,https://docs.microsoft.com/en-us/azure/networking/working-remotely-support,"1,455",-23.06%,"1,177",116,87.32832212,-0.509888588,61.65%,83.52%,5.36%,20.34%,7.97%,1.99%,89.83%,0.21%,0.00%,2%,0%,83%,44,4.52%,0.00%,0.00%,0,0,0,,,,,> 365 days,,,2020-03-26,rambala,,,1.39806077,4687e1a4-153c-ac67-0a5a-31470916bc88
how-to,Viewing and Modifying Hostnames,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-viewing-and-modifying-hostnames,"1,449",-16.39%,"1,226","1,225",25.0333719,-6.619565066,13.80%,89.40%,6.14%,50.45%,84.54%,3.04%,8.83%,1.17%,2.42%,3%,0%,89%,47,19.17%,0.00%,0.00%,0,0,0,0,2,,,91-365 days,2022-01-01,1,2021-05-14,genli,,,0.970568666,56f820d5-730f-36a6-b709-0f18757f22f9
conceptual,Azure virtual network service endpoint policies,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-service-endpoint-policies-overview,"1,439",-15.75%,"1,050",538,23.11620277,-1.003225586,16.96%,87.05%,10.01%,38.43%,37.39%,11.19%,47.95%,3.47%,0.00%,6%,0%,87%,31,8.89%,0.00%,0.00%,0,0,0,0,4,,,> 365 days,2022-02-17,2,2020-02-21,rdhillon,,,0.939968894,77f42051-764d-f0cf-a51d-9ebf297a8619
article,Microsoft global network - Azure,https://docs.microsoft.com/en-us/azure/networking/microsoft-global-network,"1,407",-8.28%,"1,022",635,50.07648404,-6.742915096,27.86%,83.17%,8.74%,48.97%,45.13%,26.37%,26.94%,1.21%,0.36%,4%,0%,83%,28,7.33%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2021-01-05,2,2020-01-05,kumud,79.00,0.00,1.022889467,d21007d5-0dad-6050-e747-822951dc60ed
conceptual,Azure virtual network TAP overview,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-tap-overview,"1,357",-25.23%,880,753,56.79701556,7.835638518,32.35%,85.11%,7.22%,54.68%,55.49%,15.25%,25.20%,3.98%,0.07%,6%,0%,85%,46,23.33%,0.00%,0.11%,0,1,0,0,3,,,> 365 days,2022-01-21,2,2019-04-14,kaanan,,,1.102425973,913fa693-0fe8-e2b4-c1f2-d7cae0b2b8a2
troubleshooting,Diagnose a virtual machine network traffic filter problem,https://docs.microsoft.com/en-us/azure/virtual-network/diagnose-network-traffic-filter-problem,"1,276",-12.78%,984,631,46.38350809,-4.898086788,16.14%,84.55%,10.11%,46.24%,49.45%,4.70%,44.91%,0.86%,0.08%,3%,1%,84%,30,5.83%,0.00%,0.00%,0,0,0,0,1,,,> 365 days,2022-04-12,4,2018-05-29,mbender,,,0.905873283,e591ae3a-13f4-77d4-3df9-a83af4beb31b
how-to,Create a VM with a static public IP address - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/virtual-network-deploy-static-pip-arm-portal,"1,265",-18.75%,"1,042",597,61.63566788,2.565109144,27.27%,89.64%,5.69%,41.19%,47.19%,22.69%,29.01%,1.11%,0.00%,3%,0%,90%,56,14.44%,0.00%,0.00%,0,0,0,,,,,> 365 days,,,2020-10-01,allensu,,,1.112163444,af013d55-6ad3-733a-15f9-7c5bd843ccdb
overview,What is Azure Virtual Network Manager (Preview)?,https://docs.microsoft.com/en-us/azure/virtual-network-manager/overview,"1,243",-29.97%,868,376,22.25148124,10.8549068,31.05%,82.95%,11.75%,37.17%,30.25%,15.12%,52.61%,1.53%,0.48%,6%,0%,83%,42,21.67%,100.00%,0.23%,2,2,0,,,,,91-365 days,2021-11-02,2,2021-11-02,duau,91.00,0.00,1.022574343,e3eb8bc2-4b21-fe92-9efa-f5fd423628a0
quickstart,Create a virtual network - quickstart - Azure CLI - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-cli,"1,201",-16.36%,883,361,53.70716511,6.644625627,39.55%,83.69%,6.49%,27.14%,30.06%,4.50%,63.36%,2.08%,0.00%,12%,3%,84%,30,10.42%,0.00%,0.00%,0,0,0,0,5,,,0-90 days,2022-04-13,21,2022-04-13,mbender,97.00,0.00,1.167477461,9b4e6ddf-8405-adbb-b513-54552a5a10f5
how-to,Diagnostic resource logging for a network security group,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-nsg-manage-log,"1,180",-19.78%,877,859,27.16027409,9.090789854,19.83%,86.89%,8.73%,41.02%,72.80%,8.31%,15.51%,3.39%,0.00%,5%,0%,87%,43,7.14%,0.00%,0.00%,0,0,0,0,4,,,> 365 days,2022-04-12,4,2018-06-04,mbender,,,0.979888101,3d287c06-8479-5729-c485-9744647d4b4f
quickstart,Quickstart: Create a virtual network using a Resource Manager template - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-template,"1,175",-16.43%,826,541,61.24610592,-7.989522634,37.53%,88.98%,6.72%,32.17%,46.04%,4.17%,49.11%,0.68%,0.00%,9%,0%,89%,45,23.33%,0.00%,0.00%,0,0,0,1,2,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+372e63be-f556-3eae-50af-d928b97e2fca+in:body,91-365 days,2022-04-14,11,2021-06-09,mbender,,,1.197915615,f2bc67ca-d92d-2c8b-3258-31cd01299c59
conceptual,Subnet extension in Azure,https://docs.microsoft.com/en-us/azure/virtual-network/subnet-extension,"1,159",-11.93%,878,368,64.00412742,-10.9281363,39.00%,84.97%,9.58%,30.20%,31.75%,11.39%,55.48%,1.38%,0.00%,3%,0%,85%,43,21.67%,0.00%,0.00%,0,0,0,0,6,,,> 365 days,2022-01-01,1,2019-10-31,anupand,,,1.143877469,386ed326-d3ab-c15b-792a-529e2d209716
faq,Azure DDoS Protection Standard frequently asked questions,https://docs.microsoft.com/en-us/azure/ddos-protection/ddos-faq,"1,157",-15.24%,859,715,65.81307682,-6.722224029,32.50%,89.41%,9.25%,39.67%,61.80%,10.80%,26.45%,0.35%,0.61%,10%,0%,89%,38,26.67%,0.00%,0.00%,0,0,0,,,,,0-90 days,2022-04-29,12,2022-04-29,yitoh,,,1.126560703,1c4cdac4-a6ff-e3d9-fdbc-1895896cd417
how-to,How Accelerated Networking works in Linux and FreeBSD VMs,https://docs.microsoft.com/en-us/azure/virtual-network/accelerated-networking-how-it-works,"1,003",9.62%,718,175,21.40250957,-15.91840734,20.64%,86.21%,11.57%,51.25%,17.45%,14.46%,65.70%,1.69%,0.70%,11%,0%,86%,39,4.58%,0.00%,0.00%,0,0,0,,,,,0-90 days,2022-03-14,2,2022-02-15,steveesp,,,0.952844808,812817a7-33dc-b63e-95d4-cbe715f270b0
conceptual,Container networking with Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/container-networking-overview,871,-20.46%,687,286,48.98401947,-0.412994818,28.82%,86.32%,8.96%,32.95%,32.84%,16.19%,33.98%,16.65%,0.34%,3%,0%,86%,50,16.67%,0.00%,0.00%,0,0,0,0,3,,,> 365 days,2022-01-01,1,2018-09-18,aanandr,,,1.06179549,0c6fed67-f38a-101e-599b-14394d23bf9e
tutorial,Tutorial: Create a secured hub and spoke network,https://docs.microsoft.com/en-us/azure/virtual-network-manager/tutorial-create-secured-hub-and-spoke,818,-13.62%,562,512,44.97368421,-9.088236933,23.11%,88.08%,7.82%,39.85%,62.59%,12.59%,24.82%,0.00%,0.00%,5%,0%,88%,40,11.43%,0.00%,0.00%,0,0,0,1,1,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+83954414-f799-3434-27cd-a4e18de04737+in:body,91-365 days,2022-04-29,2,2021-11-02,duau,91.00,0.00,1.033594654,eb0ad5b8-a896-9093-86a8-9ea664bc7be9
conceptual,Azure security baseline for Virtual Network,https://docs.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-network-security-baseline,801,-16.56%,561,123,87.29495185,15.30323958,52.31%,86.27%,6.12%,27.84%,15.36%,6.74%,76.03%,1.87%,0.00%,5%,0%,86%,9,1.67%,0.00%,0.00%,0,0,0,,,,,> 365 days,2021-11-09,6,2021-04-21,mbaldwin,,,1.324667695,6e698878-aabd-8415-55da-e1f3d5830f3a
how-to,Create an Azure virtual network peering - different deployment models -different subscriptions,https://docs.microsoft.com/en-us/azure/virtual-network/create-peering-different-deployment-models-subscriptions,794,-17.46%,567,353,53.8666904,13.86848123,30.10%,85.71%,8.06%,35.64%,44.46%,10.20%,44.71%,0.63%,0.00%,4%,0%,85%,15,3.69%,0.00%,0.00%,0,0,0,1,4,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+1e2ca724-1a16-08b1-3b80-fe07886f6e4d+in:body,> 365 days,2022-04-12,4,2020-06-25,mbender,,,1.07754588,fc65b50a-8564-1767-1ff2-63462ea0ecd8
how-to,Manage a public IP address with Azure Firewall - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/configure-public-ip-firewall,793,-4.92%,638,715,18.22550503,-22.93674426,15.13%,87.77%,9.33%,38.34%,90.16%,3.91%,5.67%,0.25%,0.00%,2%,0%,88%,54,16.67%,0.00%,0.00%,0,0,0,,,,,91-365 days,2021-10-21,6,2021-06-28,allensu,,,0.935750513,94047c71-0785-29a1-2068-f1212c7608b6
how-to,Upgrade a public IP address - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/public-ip-upgrade-portal,764,-15.39%,610,293,27.60523271,-2.579222874,17.41%,88.36%,7.59%,41.10%,38.35%,11.78%,48.95%,0.79%,0.13%,2%,0%,88%,47,26.67%,0.00%,0.00%,0,0,0,0,1,,,91-365 days,2022-02-11,6,2021-05-20,allensu,,,0.981774097,c80e4c13-3270-d968-4543-4a4c591c61c2
article,Hybrid connection with 2-tier application,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-scenario-udr-gw-nva,762,48.54%,593,579,35.52313437,5.207119368,16.80%,88.70%,7.74%,48.69%,75.98%,7.22%,16.80%,0.00%,0.00%,5%,0%,88%,41,10.63%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-04-12,4,2016-05-05,mbender,,,0.977566358,5c0b9bec-7f99-e58f-2ef7-9eb72c1874cd
article,Azure Kubernetes network policies,https://docs.microsoft.com/en-us/azure/virtual-network/kubernetes-network-policies,736,-26.47%,507,345,62.89455072,12.99112438,31.93%,87.57%,6.52%,35.87%,46.88%,13.99%,37.77%,1.36%,0.00%,5%,0%,87%,30,7.38%,0.00%,0.00%,0,0,0,0,2,,,> 365 days,2022-01-01,1,2018-09-25,aanandr,,,1.129815732,bbe186d1-db8b-a34a-911f-064ad637f6e4
troubleshooting,Troubleshoot Azure Virtual Network NAT connectivity - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/nat-gateway/troubleshoot-nat,736,-21.11%,533,379,89.69255376,1.440506767,31.52%,90.81%,6.25%,41.30%,51.49%,13.86%,33.70%,0.95%,0.00%,5%,0%,91%,38,4.90%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-04-19,2,2020-05-20,allensu,,,1.160784934,e262f02a-ea51-9462-e861-413d0df5c59c
how-to,Manage a public IP address with a load balancer - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/configure-public-ip-load-balancer,715,2.44%,601,597,28.38835988,-2.002041264,16.92%,88.69%,7.13%,43.92%,83.50%,5.31%,10.91%,0.28%,0.00%,2%,0%,89%,50,8.57%,0.00%,0.00%,0,0,0,,,,,91-365 days,2021-10-21,8,2021-06-28,allensu,94.00,0.00,0.984757339,b7870fde-9994-bd24-4973-e72be02bacbf
